timestamp,mouseMovements,avgTypingSpeed,clicks,keypresses,Result
2024-08-28T17:49:17.471Z,76,0,1,0,Human
2024-08-28T17:49:18.462Z,95,0,2,0,Human
2024-08-28T17:49:19.457Z,126,0,0,0,Human
2024-08-28T17:49:20.467Z,87,1566.125,1,8,Human
2024-08-28T17:49:21.458Z,98,0,4,0,Human
2024-08-28T17:49:22.459Z,94,358.1666666666667,4,6,Human
2024-08-28T17:49:23.458Z,96,105.81818181818181,5,11,Human
2024-08-28T17:49:24.461Z,112,84,5,11,Human
2024-08-28T17:49:25.457Z,83,107.57142857142857,3,7,Human
2024-08-28T17:49:26.468Z,116,0,3,0,Human
2024-08-28T17:49:27.461Z,60,0,3,0,Human
2024-08-28T17:49:28.457Z,80,383.5,4,8,Human
2024-08-28T17:49:29.460Z,35,0,0,0,Human
2024-08-28T17:49:30.457Z,36,0,0,0,Human
2024-08-28T17:49:31.460Z,14,510.3333333333333,2,6,Human
2024-08-28T17:49:32.461Z,23,195,2,6,Human
2024-08-28T17:49:33.470Z,58,139,2,1,Human
2024-08-28T17:49:34.457Z,66,950,1,2,Human
2024-08-28T17:49:35.458Z,81,144.5,3,6,Human
2024-08-28T17:49:36.462Z,74,112,3,7,Human
2024-08-28T17:49:37.462Z,91,204.6,4,5,Human
2024-08-28T17:49:38.458Z,86,0,2,0,Human
2024-08-28T17:49:39.459Z,90,0,1,0,Human
2024-08-28T17:49:40.462Z,46,0,0,0,Human
2024-08-28T17:49:41.458Z,54,4309,0,1,Human
2024-08-28T17:49:42.470Z,64,84.58333333333333,0,12,Human
2024-08-28T17:49:43.459Z,91,28.65714285714286,0,35,Human
2024-08-28T17:49:44.456Z,76,41.59090909090909,0,22,Human
2024-08-28T17:49:45.459Z,42,46.608695652173914,0,23,Human
2024-08-28T17:49:46.456Z,66,45.72727272727273,0,22,Human
2024-08-28T17:49:47.457Z,52,53.25,0,8,Human
2024-08-28T17:49:48.461Z,10,0,0,0,Human
2024-08-28T17:49:49.459Z,0,0,0,0,Human
2024-08-28T17:49:50.460Z,0,0,0,0,Human
2024-08-28T17:49:51.469Z,0,0,0,0,Human
2024-08-28T17:49:52.470Z,0,0,0,0,Human
2024-08-28T17:49:53.468Z,0,0,0,0,Human
2024-08-28T17:49:54.469Z,0,0,0,0,Human
2024-08-28T17:25:04.814Z,36,0,0,0,Human
2024-08-28T17:25:05.791Z,27,0,1,0,Human
2024-08-28T17:25:06.783Z,56,0,3,0,Human
2024-08-28T17:25:07.787Z,26,0,1,0,Human
2024-08-28T17:25:08.791Z,0,1668,0,3,Human
2024-08-28T17:25:09.794Z,0,201,0,2,Human
2024-08-28T17:25:10.793Z,0,197,0,8,Human
2024-08-28T17:25:11.793Z,0,131.57142857142858,0,7,Human
2024-08-28T17:25:12.784Z,0,322.3333333333333,0,3,Human
2024-08-28T17:25:13.796Z,0,150.5,0,4,Human
2024-08-28T17:25:14.784Z,0,240.16666666666666,0,6,Human
2024-08-28T17:25:15.799Z,0,150.71428571428572,0,7,Human
2024-08-28T17:25:16.791Z,0,136.28571428571428,0,7,Human
2024-08-28T17:25:17.798Z,0,200.8,0,5,Human
2024-08-28T17:25:18.791Z,0,152.28571428571428,0,7,Human
2024-08-28T17:25:19.797Z,0,226.75,0,4,Human
2024-08-28T17:25:20.796Z,0,170.66666666666666,0,6,Human
2024-08-28T17:25:21.795Z,0,137.5,0,4,Human
2024-08-28T17:25:22.787Z,0,321.25,0,4,Human
2024-08-28T17:25:23.795Z,11,0,0,0,Human
2024-08-28T18:01:35.661Z,0,0,0,0,Human
2024-08-28T18:01:36.624Z,49,0,0,0,Human
2024-08-28T18:01:37.627Z,0,0,0,0,Human
2024-08-28T18:01:38.617Z,54,0,0,0,Human
2024-08-28T18:01:39.623Z,9,0,0,0,Human
2024-08-28T18:01:40.625Z,0,0,0,0,Human
2024-08-28T18:01:41.625Z,0,0,0,0,Human
2024-08-28T18:01:42.622Z,1,0,2,0,Human
2024-08-28T18:01:43.612Z,0,0,1,0,Human
2024-08-28T18:01:44.618Z,25,0,1,0,Human
2024-08-28T18:01:45.618Z,1,0,1,0,Human
2024-08-28T18:01:46.612Z,0,0,0,0,Human
2024-08-28T18:01:47.623Z,0,0,0,0,Human
2024-08-28T18:01:48.609Z,65,0,0,0,Human
2024-08-28T18:01:49.615Z,129,0,0,0,Human
2024-08-28T18:01:50.612Z,75,0,0,0,Human
2024-08-28T18:01:51.617Z,27,0,0,0,Human
2024-08-28T18:01:52.609Z,95,0,0,0,Human
2024-08-28T18:01:53.609Z,74,0,0,0,Human
2024-08-28T18:01:54.620Z,87,0,0,0,Human
2024-08-28T18:01:55.619Z,105,0,0,0,Human
2024-08-28T18:01:56.611Z,117,0,0,0,Human
2024-08-28T18:01:57.625Z,48,0,0,0,Human
2024-08-28T18:01:58.616Z,39,0,0,0,Human
2024-08-28T18:01:59.612Z,10,0,0,0,Human
2024-08-28T18:02:00.622Z,14,0,0,0,Human
2024-08-28T18:02:01.614Z,17,0,0,0,Human
2024-08-28T18:02:02.614Z,12,0,0,0,Human
2024-08-28T18:02:03.618Z,16,0,0,0,Human
2024-08-28T18:02:04.612Z,0,0,0,0,Human
2024-08-28T18:02:05.614Z,7,0,0,0,Human
2024-08-28T18:02:06.617Z,7,0,0,0,Human
2024-08-28T18:02:07.613Z,33,0,0,0,Human
2024-08-28T18:02:08.612Z,0,0,0,0,Human
2024-08-28T18:02:09.626Z,0,0,0,0,Human
2024-08-28T18:02:10.615Z,0,0,0,0,Human
2024-08-28T18:02:11.621Z,0,0,0,0,Human
2024-08-28T18:02:12.622Z,0,0,0,0,Human
2024-08-28T18:02:13.612Z,0,0,0,0,Human
2024-08-28T18:02:14.624Z,0,0,0,0,Human
2024-08-28T18:02:15.616Z,0,0,0,0,Human
2024-08-28T18:02:16.619Z,32,0,0,0,Human
2024-08-28T18:02:17.616Z,1,0,3,0,Human
2024-08-28T18:02:18.614Z,0,0,0,0,Human
2024-08-28T18:02:19.625Z,0,0,0,0,Human
2024-08-28T18:02:20.614Z,0,5084.333333333333,0,9,Human
2024-08-28T18:02:21.616Z,0,1175,0,1,Human
2024-08-28T18:02:22.615Z,0,45.9,0,10,Human
2024-08-28T18:02:23.613Z,0,0,0,0,Human
2024-08-28T18:02:24.623Z,0,283.375,0,8,Human
2024-08-28T18:02:25.613Z,0,0,0,0,Human
2024-08-28T18:02:26.611Z,0,0,0,0,Human
2024-08-28T18:02:27.616Z,1,0,2,0,Human
2024-08-28T18:02:28.619Z,0,0,1,0,Human
2024-08-28T18:02:29.617Z,0,0,1,0,Human
2024-08-28T18:02:30.614Z,25,0,2,0,Human
2024-08-28T18:02:31.617Z,1,0,2,0,Human
2024-08-28T18:02:32.614Z,27,0,1,0,Human
2024-08-28T18:02:33.617Z,0,0,0,0,Human
2024-08-28T18:02:34.613Z,58,0,0,0,Human
2024-08-28T18:02:35.614Z,124,0,0,0,Human
